Rede; Alfa; Reg_lambda; batch_size; Acuracia; desvio_padrao; tempo_exe
[16, 5, 2]; 0,80000; 0,17500; None; 0,94939; 0,01046; 107,56068
[16, 10, 2]; 0,80000; 0,17500; None; 0,94478; 0,01322; 119,86237
[16, 15, 2]; 0,80000; 0,17500; None; 0,94478; 0,01151; 127,81389
[16, 5, 5, 2]; 0,80000; 0,17500; None; 0,95169; 0,01653; 113,60626
[16, 10, 10, 2]; 0,80000; 0,17500; None; 0,94937; 0,01912; 105,67501
[16, 15, 15, 2]; 0,80000; 0,17500; None; 0,94708; 0,01659; 91,39032
[16, 5, 5, 5, 2]; 0,80000; 0,17500; None; 0,94710; 0,01017; 154,15347
[16, 10, 10, 10, 2]; 0,80000; 0,17500; None; 0,94249; 0,01377; 132,93952
[16, 15, 15, 15, 2]; 0,80000; 0,17500; None; 0,94249; 0,01655; 232,06693
