Rede; Alfa; Reg_lambda; batch_size; Acuracia; desvio_padrao; tempo_exe
[16, 10, 10, 2]; 0,80000; 0,02500; None; 0,95171; 0,01364; 37,49246
[16, 10, 10, 2]; 0,80000; 0,02500; 25; 0,93559; 0,01155; 26,94450
[16, 10, 10, 2]; 0,80000; 0,02500; 50; 0,94478; 0,01472; 12,00780
[16, 10, 10, 2]; 0,80000; 0,02500; 75; 0,92873; 0,01988; 12,96904
[16, 10, 10, 2]; 0,80000; 0,02500; 100; 0,93565; 0,02046; 16,72468
